Id,Label,Date,Image,followers_count,friends_count
1131595666944397313,Gevelli2,Thu May 23 16:20:05 +0000 2019,https://pbs.twimg.com/profile_images/1131596032301817856/sCFBMlPT_normal.jpg,3,32
1131906768194482176,tamisiech,Fri May 24 12:56:18 +0000 2019,https://pbs.twimg.com/profile_images/1420845933324087300/bSGTMpaT_normal.jpg,343,213
1132181767589421058,noodlauflauf,Sat May 25 07:09:03 +0000 2019,https://pbs.twimg.com/profile_images/1457360025786241026/CT3I1VnV_normal.jpg,1740,485
1133065087382634498,AhaMichaela,Mon May 27 17:39:02 +0000 2019,https://pbs.twimg.com/profile_images/1435100605253574657/yPAGwyYy_normal.jpg,164,429
1133119485043445760,AndreasDeutsc11,Mon May 27 21:15:12 +0000 2019,https://pbs.twimg.com/profile_images/1248362887254609930/-u5ZXNOk_normal.jpg,2,10
1133362781070221313,Bootsy732,Tue May 28 13:21:58 +0000 2019,https://pbs.twimg.com/profile_images/1455190991519068166/u0o4qb4c_normal.jpg,224,805
1135631779036094465,martin4597,Mon Jun 03 19:38:09 +0000 2019,https://pbs.twimg.com/profile_images/1135833093762420743/jzApkZ7i_normal.png,47,85
1136593952423993345,kermithathusten,Thu Jun 06 11:21:29 +0000 2019,https://pbs.twimg.com/profile_images/1431611702026592261/GTQJilHp_normal.jpg,158,1063
1138129926832427008,Trittbrettsaege,Mon Jun 10 17:04:54 +0000 2019,https://pbs.twimg.com/profile_images/1392198724995190785/VmljZPT2_normal.jpg,88,250
1138769843765878784,thinks_about_it,Wed Jun 12 11:27:42 +0000 2019,https://pbs.twimg.com/profile_images/1379029838133141508/Mmadrtyy_normal.jpg,913,967
114021187,criwipe,Sat Feb 13 20:48:56 +0000 2010,https://pbs.twimg.com/profile_images/691189481622339585/MOg9lQlU_normal.jpg,8,81
1140534932835635200,2008_jens,Mon Jun 17 08:21:32 +0000 2019,https://pbs.twimg.com/profile_images/1391464222735933440/c5YIjJ1j_normal.jpg,139,836
1141704723076132864,lederwalze,Thu Jun 20 13:49:52 +0000 2019,https://pbs.twimg.com/profile_images/1141846702200107009/9ttsc_ca_normal.jpg,483,48
1143039246,alissa_claudia,Sat Feb 02 18:04:48 +0000 2013,https://pbs.twimg.com/profile_images/1329685908287877125/q3M-KYG3_normal.jpg,1970,1212
1143255384,Roter_Daenu,Sat Feb 02 19:50:50 +0000 2013,https://pbs.twimg.com/profile_images/3198672875/03d4f4b5f8df4f951c14e650c2a2906f_normal.jpeg,85,176
1144328577221124101,FilosofiaPolti,Thu Jun 27 19:36:08 +0000 2019,https://pbs.twimg.com/profile_images/1344957512014045184/Izjr16Qx_normal.jpg,30790,302
1144545418572943360,Tom70719883,Fri Jun 28 09:57:47 +0000 2019,https://pbs.twimg.com/profile_images/1413414915419918337/Zht2teNR_normal.jpg,51,208
1145731625323585536,drogandandi,Mon Jul 01 16:31:20 +0000 2019,https://pbs.twimg.com/profile_images/1312617699533611008/jHOxU7VO_normal.jpg,2,18
1146334842914820097,Flitzi6,Wed Jul 03 08:28:19 +0000 2019,https://pbs.twimg.com/profile_images/1146349722304729088/14SDlFDK_normal.jpg,78,338
1146725306071506944,wacholderblau,Thu Jul 04 10:19:52 +0000 2019,https://pbs.twimg.com/profile_images/1155483437240897536/Al6kVV9u_normal.jpg,116,288
1147425714867752960,Kagushira1,Sat Jul 06 08:43:03 +0000 2019,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,3,22
1147432621670051840,Costanzzza,Sat Jul 06 09:10:30 +0000 2019,https://pbs.twimg.com/profile_images/1211080274643226625/BLZDJEg4_normal.jpg,102,285
1148032358,rwschmidt1,Mon Feb 04 13:37:27 +0000 2013,https://pbs.twimg.com/profile_images/636518434088591361/07QR-2Hn_normal.jpg,1089,914
1148290233219334144,b_friederike,Mon Jul 08 17:58:20 +0000 2019,https://pbs.twimg.com/profile_images/1441509873079005185/kuy_MNqD_normal.jpg,407,291
1149740137649250304,DrachenMilchers,Fri Jul 12 17:59:44 +0000 2019,https://pbs.twimg.com/profile_images/1458241096706924549/SxOaVoXi_normal.jpg,97,223
1149795256847798272,MaxDenker1,Fri Jul 12 21:38:46 +0000 2019,https://pbs.twimg.com/profile_images/1149795428457689089/gYXg2JuV_normal.jpg,62,47
1150456132844085251,EaglesEfc,Sun Jul 14 17:24:51 +0000 2019,https://pbs.twimg.com/profile_images/1150480746827735041/KaSn2CbR_normal.jpg,38,47
1151952394823110661,EmLovsky,Thu Jul 18 20:30:27 +0000 2019,https://pbs.twimg.com/profile_images/1461323647965143042/GQqKn_8u_normal.jpg,11,177
1152317324365639681,AckesW,Fri Jul 19 20:40:33 +0000 2019,https://pbs.twimg.com/profile_images/1152664064302243841/NtuwPIu-_normal.jpg,1255,2519
1152863571392499712,BamfrSat,Sun Jul 21 08:51:09 +0000 2019,https://pbs.twimg.com/profile_images/1156969247320477696/PdCVwIev_normal.jpg,67,57
1154106240588496899,Herr_Kaleun,Wed Jul 24 19:09:04 +0000 2019,https://pbs.twimg.com/profile_images/1467478146853314560/2ulSyu1I_normal.jpg,3706,437
1154504123791925259,physical_legend,Thu Jul 25 21:30:07 +0000 2019,https://pbs.twimg.com/profile_images/1336024448470749185/LcKKj3eX_normal.jpg,7,129
1154504160206872590,Pitimini15,Thu Jul 25 21:30:16 +0000 2019,https://pbs.twimg.com/profile_images/1154504835426902027/tPz1_OfR_normal.jpg,35,127
1155013296,dschi_dschei,Wed Feb 06 20:35:48 +0000 2013,https://pbs.twimg.com/profile_images/1370658468584173570/gT0GkFD0_normal.jpg,453,380
