ID,URL,Date,Valid Phish
7281984,http://134ec2cb.haardhoutdiscount.nl/fr/, on Sep 3rd 2021 2:56 PM,VALID PHISH
7281983,http://56228070.haardhoutkadobon.com/419075154/..., on Sep 3rd 2021 2:56 PM,Unknown
7281075,https://post-ch.cc-pays.site/safedeal/43289781..., on Sep 2nd 2021 3:03 PM,Unknown
7280866,https://one-digitalserviceviseca.xyz/digitalone/192.168.0.1/index.php?..., on Sep 2nd 2021 1:19 PM,Unknown
7280864,https://kingdommindedchurch.org/r, on Sep 2nd 2021 1:18 PM,Unknown
7280792,http://hakelamakele.duckdns.org/, on Sep 2nd 2021 12:10 PM,Unknown
7280786,https://wdfyxklmba.web.app/#dXNlckBkb21haW4uY24..., on Sep 2nd 2021 12:03 PM,Unknown
7280691,https://postfiinanca.000webhostapp.com/login/, on Sep 2nd 2021 8:32 AM,VALID PHISH
7280666,http://my-cy0n-ch-a5a07ed3.b-berry.pt/cy/, on Sep 2nd 2021 7:34 AM,Unknown
7280665,http://my-cy0n-ch-e119f285.ruralgourmet.net/cy/..., on Sep 2nd 2021 7:33 AM,Unknown
7280649,https://mypaaket-listmailnow.com/inbox/account/ifram/index.php..., on Sep 2nd 2021 7:14 AM,Unknown
7280648,https://expresspack-suisse.com/?id=Sendungsnummer/00340434168946400626..., on Sep 2nd 2021 7:14 AM,Unknown
7280646,https://bisonbladesharpening.com/wp-content/themes/twentyfifteen/css/c..., on Sep 2nd 2021 7:11 AM,Unknown
7280644,https://beewildhoney.pk/parcel/clients/L7FEWV.php?verification#_..., on Sep 2nd 2021 6:58 AM,Unknown
7280204,https://555030.selcdn.ru/046-0w0-jun-sharepoint/index13.html?email=use..., on Sep 1st 2021 8:04 PM,VALID PHISH
7280203,https://oauthbuk6054.s3.ams03.cloud-object-storage.appdomain.cloud/non..., on Sep 1st 2021 8:04 PM,Unknown
7280202,https://alwatnia.com.sa/site/fonts/zacks/, on Sep 1st 2021 8:04 PM,VALID PHISH
7279881,https://carpevitae.org/modules/ps_checkout/views/json/i18n/-/swissra/S..., on Sep 1st 2021 2:52 PM,VALID PHISH
7279871,https://www.reversm.com/saha/dhlexpil/dhl/info.php..., on Sep 1st 2021 2:37 PM,Unknown
7279870,http://my-cy0n-ch-a5a07ed3.b-berry.pt/Nlk3T0NEYUlwL052dFJyQ0xGTGlNQT09..., on Sep 1st 2021 2:36 PM,Unknown
7279868,http://accordimmobilier.fr/.ch, on Sep 1st 2021 2:36 PM,Unknown
7279865,http://my-cy0n-ch-5977037d.b-berry.pt/Z0pPUjI3Tzd3bnhYOUlpMDMwQUlvdz09..., on Sep 1st 2021 2:30 PM,Unknown
7279864,https://123micros.wixsite.com/outlook, on Sep 1st 2021 2:30 PM,Unknown
7279735,https://spayurveda.de/wp-sui/SWISSAPOSTA/POSTSWISRA/PostCanada/MyOrder..., on Sep 1st 2021 1:39 PM,VALID PHISH
7279734,https://spayurveda.de/wp-sui/SWISSAPOSTA/POSTSWISRA/PostCanada/MyOrder..., on Sep 1st 2021 1:39 PM,Unknown
7279733,http://anjuliveda.de/Seiten/wp, on Sep 1st 2021 1:39 PM,Unknown
7279729,https://amdigital.ch/wp-content/nic/hostpointed/#[email protected], on Sep 1st 2021 1:34 PM,Unknown
7279667,https://outlesscool3.cabanova.com/, on Sep 1st 2021 12:26 PM,VALID PHISH
7279464,https://folcar.com.pl/wp-content/dhl/dhl/r7co3moipa8r952zmfc2q60szt.ph..., on Sep 1st 2021 8:06 AM,Unknown
7279462,https://folcar.com.pl/wp-content/dhl/dhl/?i=i&[email protected], on Sep 1st 2021 8:06 AM,Unknown
7279461,https://schweizeridpack.com/, on Sep 1st 2021 8:06 AM,Unknown
7279460,https://videoinfolive.com/chi, on Sep 1st 2021 8:06 AM,Unknown
7279418,https://post-ch.servehttp.com/Checkout/portal/parcel-General-delivery_..., on Sep 1st 2021 6:54 AM,VALID PHISH
7279396,https://directlighting.es/wp-includes/certificates/main/..., on Sep 1st 2021 6:03 AM,VALID PHISH
7279391,https://brinkheatherdawn.cabanova.com/index.html..., on Sep 1st 2021 5:34 AM,VALID PHISH
7279101,http://webscr-ltd.paypalogin.securemeasures-ref39414.rawd8712.odns.fr/..., on Aug 31st 2021 9:01 PM,Unknown
7279100,http://espclientsolutions.com/redir.php, on Aug 31st 2021 9:01 PM,VALID PHISH
